hazard,climate_scenario,subsidence,year,return_period,sea_level_rise_percentile,key,url
coastal,historical,nosub,1980,1.5,95,hazard_coastal__rcp_historical__sub_nosub__y_1980__rp_1.5__perc_95,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_historical_nosub_hist_rp0001_5.tif
coastal,historical,nosub,1980,2,95,hazard_coastal__rcp_historical__sub_nosub__y_1980__rp_2__perc_95,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_historical_nosub_hist_rp0002_0.tif
coastal,historical,nosub,1980,5,95,hazard_coastal__rcp_historical__sub_nosub__y_1980__rp_5__perc_95,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_historical_nosub_hist_rp0005_0.tif
coastal,historical,nosub,1980,10,95,hazard_coastal__rcp_historical__sub_nosub__y_1980__rp_10__perc_95,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_historical_nosub_hist_rp0010_0.tif
coastal,historical,nosub,1980,25,95,hazard_coastal__rcp_historical__sub_nosub__y_1980__rp_25__perc_95,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_historical_nosub_hist_rp0025_0.tif
coastal,historical,nosub,1980,50,95,hazard_coastal__rcp_historical__sub_nosub__y_1980__rp_50__perc_95,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_historical_nosub_hist_rp0050_0.tif
coastal,historical,nosub,1980,100,95,hazard_coastal__rcp_historical__sub_nosub__y_1980__rp_100__perc_95,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_historical_nosub_hist_rp0100_0.tif
coastal,historical,nosub,1980,250,95,hazard_coastal__rcp_historical__sub_nosub__y_1980__rp_250__perc_95,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_historical_nosub_hist_rp0250_0.tif
coastal,historical,nosub,1980,500,95,hazard_coastal__rcp_historical__sub_nosub__y_1980__rp_500__perc_95,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_historical_nosub_hist_rp0500_0.tif
coastal,historical,nosub,1980,1000,95,hazard_coastal__rcp_historical__sub_nosub__y_1980__rp_1000__perc_95,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_historical_nosub_hist_rp1000_0.tif
coastal,historical,wtsub,1980,1.5,95,hazard_coastal__rcp_historical__sub_wtsub__y_1980__rp_1.5__perc_95,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_historical_wtsub_hist_rp0001_5.tif
